notebook_image_index,notebook_cell,notebook_output_index,width_px,height_px,category,new_filename,relative_path
1,8,0,986,535,figures/dataset_overview,train_class_distribution.png,figures/dataset_overview/train_class_distribution.png
2,9,1,1169,593,figures/dataset_overview,train_sample_images_grid.png,figures/dataset_overview/train_sample_images_grid.png
3,21,1,1114,989,figures/confusion_matrices/original_test,resnet18_original_test_confusion_matrix.png,figures/confusion_matrices/original_test/resnet18_original_test_confusion_matrix.png
4,22,0,1389,776,figures/sample_predictions/original_test,resnet18_original_test_random_predictions.png,figures/sample_predictions/original_test/resnet18_original_test_random_predictions.png
5,24,1,1305,1189,figures/confusion_matrices/external_test,resnet18_external_test_confusion_matrix.png,figures/confusion_matrices/external_test/resnet18_external_test_confusion_matrix.png
6,24,2,1532,788,figures/external_test_predictions,resnet18_external_test_sample_predictions.png,figures/external_test_predictions/resnet18_external_test_sample_predictions.png
7,24,3,1532,788,figures/error_analysis/external_test,resnet18_external_test_wrong_predictions.png,figures/error_analysis/external_test/resnet18_external_test_wrong_predictions.png
8,64,0,700,469,figures/training_curves,resnet50_no_finetuning_accuracy_curve.png,figures/training_curves/resnet50_no_finetuning_accuracy_curve.png
9,64,1,691,469,figures/training_curves,resnet50_no_finetuning_loss_curve.png,figures/training_curves/resnet50_no_finetuning_loss_curve.png
10,64,5,1052,1012,figures/confusion_matrices/original_test,resnet50_no_finetuning_confusion_matrix.png,figures/confusion_matrices/original_test/resnet50_no_finetuning_confusion_matrix.png
11,64,7,1938,789,figures/sample_predictions/original_test,resnet50_no_finetuning_random_predictions.png,figures/sample_predictions/original_test/resnet50_no_finetuning_random_predictions.png
12,64,11,1938,789,figures/error_analysis/original_test,resnet50_no_finetuning_wrong_predictions.png,figures/error_analysis/original_test/resnet50_no_finetuning_wrong_predictions.png
13,66,3,1289,1169,figures/confusion_matrices/external_test,resnet50_no_finetuning_external_test_confusion_matrix.png,figures/confusion_matrices/external_test/resnet50_no_finetuning_external_test_confusion_matrix.png
14,66,5,1026,985,figures/external_test_predictions,resnet50_no_finetuning_external_test_sample_predictions.png,figures/external_test_predictions/resnet50_no_finetuning_external_test_sample_predictions.png
15,66,6,1026,985,figures/error_analysis/external_test,resnet50_no_finetuning_external_test_wrong_predictions.png,figures/error_analysis/external_test/resnet50_no_finetuning_external_test_wrong_predictions.png
16,72,0,700,469,figures/training_curves,efficientnet_b2_no_finetuning_accuracy_curve.png,figures/training_curves/efficientnet_b2_no_finetuning_accuracy_curve.png
17,72,1,691,469,figures/training_curves,efficientnet_b2_no_finetuning_loss_curve.png,figures/training_curves/efficientnet_b2_no_finetuning_loss_curve.png
18,72,5,1052,1012,figures/confusion_matrices/original_test,efficientnet_b2_no_finetuning_confusion_matrix.png,figures/confusion_matrices/original_test/efficientnet_b2_no_finetuning_confusion_matrix.png
19,72,7,1938,789,figures/sample_predictions/original_test,efficientnet_b2_no_finetuning_random_predictions.png,figures/sample_predictions/original_test/efficientnet_b2_no_finetuning_random_predictions.png
20,72,11,1938,789,figures/error_analysis/original_test,efficientnet_b2_no_finetuning_wrong_predictions.png,figures/error_analysis/original_test/efficientnet_b2_no_finetuning_wrong_predictions.png
21,74,3,1280,1171,figures/confusion_matrices/external_test,efficientnet_b2_no_finetuning_external_test_confusion_matrix.png,figures/confusion_matrices/external_test/efficientnet_b2_no_finetuning_external_test_confusion_matrix.png
22,74,5,1026,985,figures/external_test_predictions,efficientnet_b2_no_finetuning_external_test_sample_predictions.png,figures/external_test_predictions/efficientnet_b2_no_finetuning_external_test_sample_predictions.png
23,74,6,1026,985,figures/error_analysis/external_test,efficientnet_b2_no_finetuning_external_test_wrong_predictions.png,figures/error_analysis/external_test/efficientnet_b2_no_finetuning_external_test_wrong_predictions.png
24,80,0,700,469,figures/training_curves,resnet50_with_finetuning_accuracy_curve.png,figures/training_curves/resnet50_with_finetuning_accuracy_curve.png
25,80,1,691,469,figures/training_curves,resnet50_with_finetuning_loss_curve.png,figures/training_curves/resnet50_with_finetuning_loss_curve.png
26,80,5,1052,1012,figures/confusion_matrices/original_test,resnet50_with_finetuning_confusion_matrix.png,figures/confusion_matrices/original_test/resnet50_with_finetuning_confusion_matrix.png
27,80,7,1938,789,figures/sample_predictions/original_test,resnet50_with_finetuning_random_predictions.png,figures/sample_predictions/original_test/resnet50_with_finetuning_random_predictions.png
28,80,11,1938,789,figures/error_analysis/original_test,resnet50_with_finetuning_wrong_predictions.png,figures/error_analysis/original_test/resnet50_with_finetuning_wrong_predictions.png
29,82,3,1289,1169,figures/confusion_matrices/external_test,resnet50_with_finetuning_external_test_confusion_matrix.png,figures/confusion_matrices/external_test/resnet50_with_finetuning_external_test_confusion_matrix.png
30,82,5,1026,985,figures/external_test_predictions,resnet50_with_finetuning_external_test_sample_predictions.png,figures/external_test_predictions/resnet50_with_finetuning_external_test_sample_predictions.png
31,82,6,1026,985,figures/error_analysis/external_test,resnet50_with_finetuning_external_test_wrong_predictions.png,figures/error_analysis/external_test/resnet50_with_finetuning_external_test_wrong_predictions.png
32,104,0,989,590,figures/training_curves,efficientnet_b0_base_accuracy_curve.png,figures/training_curves/efficientnet_b0_base_accuracy_curve.png
33,104,1,989,590,figures/training_curves,efficientnet_b0_base_loss_curve.png,figures/training_curves/efficientnet_b0_base_loss_curve.png
34,105,1,1314,1189,figures/confusion_matrices/original_test,efficientnet_b0_base_confusion_matrix.png,figures/confusion_matrices/original_test/efficientnet_b0_base_confusion_matrix.png
35,106,1,1127,1076,figures/sample_predictions/original_test,efficientnet_b0_base_random_predictions.png,figures/sample_predictions/original_test/efficientnet_b0_base_random_predictions.png
36,106,3,1127,1076,figures/error_analysis/original_test,efficientnet_b0_base_wrong_predictions.png,figures/error_analysis/original_test/efficientnet_b0_base_wrong_predictions.png
37,108,3,1280,1171,figures/confusion_matrices/external_test,efficientnet_b0_base_external_test_confusion_matrix.png,figures/confusion_matrices/external_test/efficientnet_b0_base_external_test_confusion_matrix.png
38,108,5,1026,985,figures/external_test_predictions,efficientnet_b0_base_external_test_sample_predictions.png,figures/external_test_predictions/efficientnet_b0_base_external_test_sample_predictions.png
39,108,6,1026,985,figures/error_analysis/external_test,efficientnet_b0_base_external_test_wrong_predictions.png,figures/error_analysis/external_test/efficientnet_b0_base_external_test_wrong_predictions.png
40,112,0,989,590,figures/training_curves,efficientnet_b0_finetuning_4_layers_accuracy_curve.png,figures/training_curves/efficientnet_b0_finetuning_4_layers_accuracy_curve.png
41,112,1,989,590,figures/training_curves,efficientnet_b0_finetuning_4_layers_loss_curve.png,figures/training_curves/efficientnet_b0_finetuning_4_layers_loss_curve.png
42,114,1,1314,1189,figures/confusion_matrices/original_test,efficientnet_b0_finetuning_4_layers_confusion_matrix.png,figures/confusion_matrices/original_test/efficientnet_b0_finetuning_4_layers_confusion_matrix.png
43,114,3,1127,1076,figures/sample_predictions/original_test,efficientnet_b0_finetuning_4_layers_random_predictions.png,figures/sample_predictions/original_test/efficientnet_b0_finetuning_4_layers_random_predictions.png
44,114,5,1127,1076,figures/error_analysis/original_test,efficientnet_b0_finetuning_4_layers_wrong_predictions.png,figures/error_analysis/original_test/efficientnet_b0_finetuning_4_layers_wrong_predictions.png
45,116,3,1289,1171,figures/confusion_matrices/external_test,efficientnet_b0_finetuning_4_layers_external_test_confusion_matrix.png,figures/confusion_matrices/external_test/efficientnet_b0_finetuning_4_layers_external_test_confusion_matrix.png
46,116,5,1026,985,figures/external_test_predictions,efficientnet_b0_finetuning_4_layers_external_test_sample_predictions.png,figures/external_test_predictions/efficientnet_b0_finetuning_4_layers_external_test_sample_predictions.png
