--- output 0 (stream) ---
Epoch [1/20] | Train Loss: 1.6439 - Train Acc: 0.4986 | Test Loss: 1.7455 - Test Acc: 0.5193 | LR: 0.001
Epoch [2/20] | Train Loss: 1.2410 - Train Acc: 0.6361 | Test Loss: 1.2004 - Test Acc: 0.6496 | LR: 0.001
Epoch [3/20] | Train Loss: 1.0633 - Train Acc: 0.6800 | Test Loss: 1.0879 - Test Acc: 0.6763 | LR: 0.001
Epoch [4/20] | Train Loss: 0.9490 - Train Acc: 0.7121 | Test Loss: 1.1327 - Test Acc: 0.6551 | LR: 0.001
Epoch [5/20] | Train Loss: 0.8751 - Train Acc: 0.7437 | Test Loss: 1.0132 - Test Acc: 0.7045 | LR: 0.001
Epoch [6/20] | Train Loss: 0.7947 - Train Acc: 0.7623 | Test Loss: 0.8936 - Test Acc: 0.7366 | LR: 0.001
Epoch [7/20] | Train Loss: 0.7631 - Train Acc: 0.7677 | Test Loss: 0.9830 - Test Acc: 0.7197 | LR: 0.001
Epoch [8/20] | Train Loss: 0.6969 - Train Acc: 0.7905 | Test Loss: 1.5194 - Test Acc: 0.6138 | LR: 0.001
Epoch [9/20] | Train Loss: 0.6360 - Train Acc: 0.8047 | Test Loss: 0.9675 - Test Acc: 0.7290 | LR: 0.0001
Epoch [10/20] | Train Loss: 0.4172 - Train Acc: 0.8772 | Test Loss: 0.5840 - Test Acc: 0.8403 | LR: 0.0001
Epoch [11/20] | Train Loss: 0.3152 - Train Acc: 0.9050 | Test Loss: 0.5443 - Test Acc: 0.8528 | LR: 0.0001
Epoch [12/20] | Train Loss: 0.2824 - Train Acc: 0.9177 | Test Loss: 0.5381 - Test Acc: 0.8512 | LR: 0.0001
Epoch [13/20] | Train Loss: 0.2505 - Train Acc: 0.9262 | Test Loss: 0.5234 - Test Acc: 0.8604 | LR: 0.0001
Epoch [14/20] | Train Loss: 0.2223 - Train Acc: 0.9335 | Test Loss: 0.5154 - Test Acc: 0.8637 | LR: 0.0001
Epoch [15/20] | Train Loss: 0.2042 - Train Acc: 0.9367 | Test Loss: 0.5272 - Test Acc: 0.8528 | LR: 0.0001
Epoch [16/20] | Train Loss: 0.1820 - Train Acc: 0.9469 | Test Loss: 0.5277 - Test Acc: 0.8544 | LR: 0.0001
Epoch [17/20] | Train Loss: 0.1618 - Train Acc: 0.9502 | Test Loss: 0.5306 - Test Acc: 0.8571 | LR: 1e-05
Epoch [18/20] | Train Loss: 0.1335 - Train Acc: 0.9621 | Test Loss: 0.5174 - Test Acc: 0.8631 | LR: 1e-05
Epoch [19/20] | Train Loss: 0.1337 - Train Acc: 0.9626 | Test Loss: 0.5075 - Test Acc: 0.8664 | LR: 1e-05
Epoch [20/20] | Train Loss: 0.1231 - Train Acc: 0.9666 | Test Loss: 0.5053 - Test Acc: 0.8637 | LR: 1e-05
